candidate_id,job_role,education_level,years_experience,technical_skill_score,aptitude_score,communication_score,interview_score,internship_experience,projects_count,project_quality_score,certifications_count,certification_prestige_score,competition_awards_count,ats_score,linkedin_profile_score,github_coding_profile_score,relocation_preference,age,gender,selected
51,Software Engineer,Master's,1.6,55.4,100.0,52.8,43.2,0,3,45.2,2,19.5,0.0,34.6,8.4,7.9,Yes,30,Female,0
52,Software Engineer,High School,5.4,78.2,69.7,64.4,78.8,1,5,84.4,3,41.1,0.0,58.2,7.1,8.6,No,29,Female,1
53,Sales Executive,Bachelor's,2.2,46.7,35.9,87.8,44.1,1,1,62.5,0,9.7,1.0,71.1,8.9,1.8,No,28,Female,0
54,Sales Executive,Master's,4.6,39.6,74.3,57.4,48.1,0,5,71.8,4,59.9,1.0,25.6,5.5,0.8,Open to Remote,35,Male,1
55,Sales Executive,Bachelor's,0.0,38.0,36.2,94.2,63.3,0,2,27.0,3,31.9,0.0,48.7,5.1,0.0,Open to Remote,22,Female,0
56,Sales Executive,Bachelor's,1.0,44.9,59.9,69.7,74.9,1,1,53.7,6,53.7,0.0,63.2,6.9,0.5,No,23,Female,1
57,Data Analyst,Master's,0.0,85.2,54.1,69.1,86.4,0,6,92.4,2,27.1,0.0,60.2,2.8,7.9,No,23,Male,1
58,Sales Executive,High School,2.8,52.0,34.6,71.1,57.4,1,0,0.0,1,57.0,0.0,80.9,4.8,5.8,No,27,Male,0
59,Software Engineer,Bachelor's,0.0,69.5,79.4,68.8,76.4,1,0,63.2,1,14.7,0.0,58.6,4.0,3.2,Yes,22,Male,0
60,Software Engineer,Bachelor's,2.5,82.8,61.1,19.6,70.3,0,7,89.2,0,66.3,0.0,68.5,3.0,7.0,Open to Remote,29,Male,1
61,Sales Executive,Bachelor's,1.1,45.4,80.9,86.1,51.4,0,2,48.7,1,62.8,0.0,79.1,6.8,0.0,No,28,Female,0
62,Data Analyst,Bachelor's,2.0,71.0,52.7,47.5,79.2,1,4,33.9,2,6.4,0.0,68.1,6.1,3.4,No,24,Male,0
63,Sales Executive,High School,3.7,47.3,31.6,76.1,43.8,0,6,99.2,2,48.7,1.0,51.5,5.9,1.5,No,34,Female,0
64,Sales Executive,Bachelor's,3.7,53.8,47.8,93.7,69.1,0,5,72.2,3,24.9,0.0,44.9,4.5,0.0,Yes,29,Male,1
65,Sales Executive,Bachelor's,5.1,38.3,98.4,63.0,59.0,0,2,57.4,1,26.2,1.0,46.6,5.3,0.0,Yes,35,Female,1
66,Sales Executive,Bachelor's,2.4,27.9,67.5,60.6,37.4,1,2,16.5,4,12.2,0.0,53.9,7.5,0.0,Open to Remote,28,Female,0
67,Sales Executive,Bachelor's,5.5,58.6,63.3,69.4,69.3,1,1,52.8,2,28.6,0.0,39.3,6.5,1.4,Open to Remote,29,Female,0
68,Data Analyst,Bachelor's,3.4,87.6,76.8,53.5,75.3,1,2,67.9,2,86.1,0.0,88.3,5.7,4.1,Yes,26,Female,1
69,Software Engineer,Bachelor's,1.1,53.6,57.7,39.2,48.5,1,5,63.3,5,35.8,0.0,99.5,3.7,9.6,No,29,Male,0
70,Data Analyst,Bachelor's,6.1,67.7,100.0,61.6,73.4,0,5,47.0,2,28.3,0.0,57.2,6.1,4.9,Open to Remote,33,Female,0
71,Software Engineer,Bachelor's,3.9,63.3,71.9,57.4,82.1,1,4,61.9,4,47.4,0.0,21.7,7.1,5.1,No,27,Female,0
72,Data Analyst,Bachelor's,5.3,78.3,73.5,66.9,99.2,0,5,56.3,0,6.3,0.0,75.2,6.1,1.5,Open to Remote,32,Male,0
73,Strategy Consultant,Bachelor's,1.2,53.7,86.8,57.7,80.1,1,2,35.5,3,62.3,0.0,55.6,5.6,0.0,Open to Remote,24,Other,0
74,Software Engineer,Bachelor's,6.3,100.0,45.9,40.8,66.4,1,2,82.9,1,14.8,0.0,78.4,2.2,6.5,No,34,Male,1
75,Software Engineer,Master's,2.0,65.5,51.8,53.2,37.4,0,2,53.2,0,16.2,0.0,55.8,7.1,8.1,Yes,26,Female,0
76,Software Engineer,Bachelor's,1.1,93.1,61.3,51.3,76.5,1,3,64.5,1,28.8,0.0,82.3,9.9,8.6,Open to Remote,34,Male,0
77,Software Engineer,Bachelor's,6.9,94.5,79.9,51.6,83.2,0,2,39.2,3,62.4,0.0,49.3,7.3,9.0,Open to Remote,29,Female,0
78,Sales Executive,Bachelor's,4.0,53.0,35.5,64.4,61.0,1,2,47.1,1,16.2,0.0,61.7,6.7,2.2,Yes,38,Male,1
79,Sales Executive,High School,3.4,45.6,54.0,80.0,46.5,1,3,49.0,1,69.2,0.0,57.9,7.3,3.1,Open to Remote,22,Male,1
80,Sales Executive,High School,3.0,46.4,51.9,60.9,63.3,1,3,34.3,0,0.0,0.0,59.8,8.1,0.2,No,21,Male,0
81,Sales Executive,Bachelor's,10.5,45.2,31.4,73.2,69.6,0,1,59.1,3,26.0,1.0,67.1,4.5,0.6,No,25,Other,0
82,Data Analyst,Bachelor's,0.0,82.0,60.4,55.4,54.4,0,2,75.3,0,41.7,0.0,79.0,5.6,3.6,Open to Remote,21,Male,1
83,Strategy Consultant,Bachelor's,0.0,36.9,80.1,69.5,69.5,0,2,29.1,4,33.6,1.0,26.6,6.4,0.0,Open to Remote,21,Female,0
84,Software Engineer,Bachelor's,8.4,67.6,42.8,72.8,52.2,1,4,71.4,4,48.4,1.0,72.9,5.0,10.0,No,33,Male,0
85,Software Engineer,Master's,4.5,65.8,86.2,35.3,60.0,0,4,30.4,2,11.7,0.0,60.2,4.6,6.6,Yes,29,Female,0
86,Software Engineer,Master's,0.7,44.1,72.0,19.1,32.3,1,4,63.0,0,0.0,0.0,47.2,6.1,4.5,Open to Remote,26,Male,0
87,Sales Executive,High School,2.5,57.9,60.2,66.1,57.3,1,3,69.4,0,6.6,0.0,60.2,5.0,0.0,Yes,27,Female,0
88,Data Analyst,Bachelor's,3.0,80.9,68.1,42.7,59.6,1,2,36.1,1,39.1,0.0,65.1,4.0,9.6,No,25,Female,0
89,Software Engineer,Master's,2.4,60.5,48.6,9.8,44.1,0,1,44.4,4,32.9,0.0,57.1,6.0,7.5,No,39,Male,0
90,Data Analyst,Bachelor's,3.0,80.5,58.3,86.2,86.5,0,2,58.4,0,28.3,0.0,25.0,5.4,6.0,No,25,Male,1
91,Software Engineer,Master's,0.0,46.2,70.4,63.4,74.1,0,3,100.0,1,13.9,0.0,54.4,5.5,5.8,Open to Remote,21,Female,0
92,Sales Executive,High School,10.5,45.4,45.2,85.0,51.4,0,4,100.0,1,37.6,0.0,47.4,8.9,0.0,Yes,34,Male,1
93,Data Analyst,Bachelor's,5.6,63.1,70.8,55.7,67.1,0,6,80.7,1,0.0,0.0,62.7,5.3,2.2,Open to Remote,28,Male,1
94,Data Analyst,Bachelor's,3.7,66.3,54.5,66.3,49.6,0,5,57.9,4,42.7,0.0,55.5,5.1,3.5,No,41,Male,0
95,Data Analyst,Bachelor's,1.4,66.2,74.8,53.7,63.1,0,2,56.3,1,17.0,0.0,99.1,6.8,3.6,Open to Remote,26,Female,1
96,Sales Executive,Master's,8.2,43.8,62.9,87.2,65.2,1,4,77.4,5,33.7,0.0,47.0,10.0,1.0,No,34,Female,1
97,Data Analyst,Master's,5.1,59.2,43.6,62.8,44.7,0,1,13.6,3,62.3,0.0,24.3,4.6,6.8,Open to Remote,35,Female,0
98,Software Engineer,Master's,1.6,68.4,66.0,54.5,69.5,1,5,32.9,1,0.0,0.0,55.2,6.4,7.0,Yes,26,Female,0
99,Software Engineer,Bachelor's,1.6,90.4,42.2,55.6,61.9,1,2,38.5,2,38.2,2.0,53.7,5.0,7.9,No,25,Male,0
100,Strategy Consultant,Master's,3.2,41.3,44.1,92.0,61.7,1,4,70.1,3,47.0,0.0,54.5,4.6,3.0,Yes,33,Male,1
101,Strategy Consultant,Master's,3.7,83.8,63.1,72.5,88.3,1,5,89.9,0,9.1,2.0,52.0,6.4,4.1,Yes,32,Male,1
102,Sales Executive,Master's,0.0,35.5,97.0,59.6,57.3,1,3,56.6,4,83.8,1.0,61.6,8.2,0.0,No,21,Male,0
103,Software Engineer,Master's,0.0,73.6,76.6,60.0,79.9,1,3,80.1,5,60.6,0.0,58.1,3.8,7.9,No,22,Male,0
104,Strategy Consultant,Master's,0.0,58.6,92.9,77.3,92.7,1,2,46.3,5,37.6,0.0,61.7,8.7,2.0,Yes,21,Female,1
105,Sales Executive,Bachelor's,2.4,40.6,64.1,72.8,75.5,0,2,39.3,3,28.3,0.0,79.6,6.2,1.5,Yes,33,Male,1
106,Sales Executive,Bachelor's,3.3,65.7,58.1,74.2,64.1,1,4,70.6,4,35.5,0.0,57.8,6.1,0.1,No,27,Male,0
107,Data Analyst,Bachelor's,6.0,73.2,81.4,44.0,53.8,0,2,84.8,1,15.8,2.0,31.6,7.0,2.8,No,28,Male,0
108,Software Engineer,Bachelor's,0.0,66.9,55.4,56.5,51.3,1,4,71.5,4,67.5,1.0,47.1,6.0,6.6,No,21,Male,0
109,Software Engineer,Bachelor's,0.0,90.6,72.1,36.8,47.2,1,4,69.5,6,69.8,1.0,35.1,4.0,7.5,Open to Remote,22,Male,0
110,Strategy Consultant,Master's,2.0,34.8,89.7,66.2,70.5,1,2,49.7,3,59.4,0.0,36.9,3.9,3.3,No,26,Male,0
111,Data Analyst,Bachelor's,3.0,56.5,78.5,50.0,69.8,1,5,92.6,0,0.0,0.0,0.0,8.9,4.6,No,25,Male,1
112,Software Engineer,Master's,1.0,78.4,83.6,69.7,78.3,1,2,49.0,2,38.1,0.0,76.4,5.8,4.4,Open to Remote,30,Female,0
113,Data Analyst,Bachelor's,10.3,77.0,70.7,83.2,60.8,0,2,47.0,5,82.4,0.0,29.6,9.2,2.7,No,33,Female,1
114,Sales Executive,Bachelor's,1.7,49.8,80.4,57.8,57.4,1,2,38.4,1,1.6,0.0,66.9,6.0,0.0,No,43,Female,0
115,Software Engineer,Bachelor's,2.6,68.1,61.9,54.9,78.2,1,2,67.1,2,28.3,0.0,44.2,6.2,6.7,Yes,29,Female,0
116,Strategy Consultant,Master's,10.5,46.2,100.0,65.3,76.3,0,3,37.8,1,19.6,0.0,46.1,4.0,0.0,Yes,36,Female,1
117,Sales Executive,High School,1.4,62.0,63.6,82.0,78.9,0,4,74.1,2,45.5,1.0,88.0,5.0,0.0,No,24,Female,0
118,Sales Executive,Bachelor's,0.0,48.6,49.2,76.4,98.2,1,6,44.1,0,6.2,0.0,45.9,6.1,4.5,Open to Remote,21,Male,0
119,Data Analyst,Master's,3.0,51.9,50.3,54.2,56.2,1,4,54.9,1,40.1,0.0,33.5,8.8,4.5,Open to Remote,27,Female,0
120,Sales Executive,Bachelor's,0.0,31.1,42.9,76.4,24.6,1,3,46.3,4,39.4,3.0,37.8,7.5,1.1,No,21,Male,0
121,Sales Executive,Master's,5.0,67.7,40.6,71.8,47.8,0,3,90.5,2,85.6,1.0,32.0,9.2,0.0,No,29,Male,0
122,Sales Executive,Master's,0.0,34.2,53.7,98.8,66.3,0,5,77.7,2,38.5,0.0,65.5,10.0,0.8,No,24,Male,1
123,Software Engineer,Bachelor's,0.0,74.1,45.9,43.1,55.0,1,5,65.8,0,28.3,1.0,69.5,7.4,3.3,Open to Remote,21,Male,0
124,Data Analyst,Bachelor's,0.2,85.3,87.4,63.9,76.4,0,2,48.3,2,44.2,0.0,55.3,7.3,5.2,No,39,Female,0
125,Software Engineer,Bachelor's,4.0,78.1,66.7,62.6,67.4,1,3,49.3,2,23.7,1.0,74.9,5.8,4.2,No,26,Male,0
126,Data Analyst,High School,3.0,53.6,69.1,66.6,53.4,1,3,33.9,3,39.1,0.0,65.4,8.4,7.8,Yes,21,Female,0
127,Data Analyst,Bachelor's,2.7,49.8,50.5,55.5,56.5,1,3,82.0,2,39.0,0.0,46.9,6.2,9.2,No,34,Female,0
128,Software Engineer,Bachelor's,2.5,98.0,53.5,75.5,93.5,1,2,47.8,3,0.0,0.0,69.4,7.8,5.5,No,25,Male,0
129,Software Engineer,Master's,5.7,54.4,31.7,23.7,57.6,1,4,91.3,2,50.5,0.0,48.8,4.9,3.5,Yes,36,Male,0
130,Sales Executive,Bachelor's,3.0,36.7,79.3,58.6,77.6,1,1,38.8,3,41.7,0.0,36.0,6.1,0.0,No,25,Male,0
131,Software Engineer,Bachelor's,3.5,75.6,43.7,65.0,50.8,1,4,65.2,2,42.2,0.0,7.8,6.4,3.3,Yes,26,Male,0
132,Strategy Consultant,Master's,4.8,46.7,51.9,56.8,51.6,1,3,53.8,2,43.6,0.0,45.9,5.9,0.2,Yes,31,Other,0
133,Sales Executive,High School,1.3,53.6,76.2,60.9,59.2,0,4,81.9,2,5.4,2.0,53.1,4.2,0.0,No,33,Female,0
134,Data Analyst,Master's,3.0,43.0,73.8,53.0,62.8,0,2,29.5,4,47.0,0.0,22.7,6.1,7.4,Yes,34,Female,0
135,Sales Executive,Bachelor's,1.4,41.8,56.8,63.2,52.8,0,1,47.7,6,59.4,1.0,67.0,6.1,0.0,Yes,28,Male,0
136,Software Engineer,Master's,1.4,80.2,70.1,64.6,69.0,0,0,43.4,2,6.4,1.0,55.3,3.5,4.0,No,32,Female,0
137,Strategy Consultant,Bachelor's,4.5,60.2,86.3,83.6,93.7,0,4,69.3,3,67.3,0.0,63.2,6.1,2.9,Yes,33,Female,1
138,Data Analyst,Master's,3.6,56.4,69.5,61.3,63.2,1,3,51.2,4,82.7,0.0,59.3,6.1,3.6,Yes,30,Male,1
139,Sales Executive,High School,2.4,29.7,31.8,90.8,53.2,0,3,40.4,1,16.5,0.0,44.9,9.2,4.3,Open to Remote,28,Male,0
140,Software Engineer,Bachelor's,0.0,73.2,76.0,34.2,65.3,1,4,75.4,2,41.4,0.0,46.4,6.1,7.0,No,21,Male,0
141,Data Analyst,Master's,4.8,45.3,74.3,61.1,67.6,1,2,20.7,2,30.0,0.0,36.7,6.9,5.5,Open to Remote,33,Male,0
142,Data Analyst,Bachelor's,5.8,84.3,85.6,80.2,91.4,0,3,88.4,1,16.9,1.0,26.7,5.2,5.7,No,29,Female,1
143,Strategy Consultant,Master's,3.0,52.4,53.3,84.7,82.6,1,0,37.7,1,15.2,0.0,81.9,5.9,1.8,Yes,27,Female,1
144,Sales Executive,Master's,0.7,34.5,44.1,96.5,43.7,1,5,50.5,4,19.8,1.0,54.7,6.7,0.5,Yes,37,Male,0
145,Data Analyst,Bachelor's,0.0,49.2,73.9,51.1,61.2,0,2,53.4,0,24.3,0.0,32.4,4.6,4.6,Yes,21,Female,0
146,Software Engineer,Master's,1.8,60.5,50.8,68.8,59.3,1,3,43.6,1,11.2,1.0,65.9,5.0,9.7,Open to Remote,39,Male,0
147,Data Analyst,Bachelor's,0.3,41.6,32.7,53.6,39.5,1,5,63.9,0,28.9,1.0,26.7,6.5,3.3,No,29,Male,0
148,Data Analyst,Bachelor's,9.0,72.4,71.0,68.9,79.8,0,2,55.3,4,35.9,0.0,69.6,6.6,5.4,No,31,Female,0
149,Data Analyst,Master's,2.8,53.0,81.4,79.7,86.4,0,4,82.5,2,7.3,0.0,61.4,6.4,4.1,Open to Remote,27,Female,0
150,Software Engineer,Bachelor's,0.0,76.0,63.1,43.1,53.5,0,1,53.8,0,3.0,1.0,45.5,6.1,8.4,Open to Remote,21,Female,0
151,Strategy Consultant,Master's,2.8,58.1,80.2,42.2,79.4,1,1,23.3,5,58.8,1.0,22.3,9.1,3.8,Yes,28,Male,0
152,Strategy Consultant,Bachelor's,0.5,64.5,78.1,97.7,63.0,0,3,67.8,4,37.7,0.0,45.6,9.1,0.0,Open to Remote,31,Female,0
153,Software Engineer,Master's,1.1,73.8,65.2,62.3,74.3,0,2,67.1,0,0.0,1.0,59.9,5.8,4.8,Open to Remote,33,Female,0
154,Sales Executive,High School,2.6,61.9,57.0,73.4,53.8,0,4,33.5,2,62.7,1.0,23.6,10.0,0.0,No,28,Female,0
155,Software Engineer,Bachelor's,0.0,90.8,85.2,52.6,68.0,1,5,55.9,0,0.0,0.0,48.2,8.3,9.0,Open to Remote,21,Male,0
156,Sales Executive,High School,2.6,48.9,40.5,43.6,45.2,1,3,88.8,4,70.5,0.0,77.8,7.3,1.5,No,21,Male,0
157,Software Engineer,Bachelor's,4.9,74.8,76.6,58.1,64.7,1,2,48.5,3,60.0,1.0,56.7,4.3,6.8,Yes,41,Female,0
158,Sales Executive,Bachelor's,0.0,36.6,37.3,67.0,13.1,0,3,43.4,1,41.1,0.0,100.0,6.3,0.6,No,22,Female,0
159,Sales Executive,Bachelor's,3.8,30.2,43.1,75.8,57.4,0,4,52.4,3,52.7,0.0,55.7,7.2,0.0,Yes,38,Female,1
160,Sales Executive,Bachelor's,1.0,64.2,72.9,75.5,80.1,1,3,45.7,4,29.0,0.0,51.6,6.4,2.9,No,23,Female,0
161,Software Engineer,Bachelor's,2.3,79.1,46.9,4.3,41.3,1,3,29.8,2,19.4,0.0,41.2,3.5,7.4,No,28,Female,0
162,Strategy Consultant,Bachelor's,7.8,60.3,68.4,77.3,65.8,0,3,35.9,3,75.9,0.0,31.6,4.4,4.9,No,33,Female,0
163,Software Engineer,Bachelor's,2.0,61.1,100.0,57.8,67.1,1,2,38.8,2,51.6,0.0,57.8,4.7,6.9,Open to Remote,24,Male,0
164,Software Engineer,Bachelor's,6.4,94.4,80.4,59.8,57.6,0,1,45.3,2,40.5,0.0,53.4,4.3,7.6,No,39,Male,0
165,Sales Executive,High School,2.3,41.6,43.9,72.2,31.2,0,7,60.6,0,5.2,1.0,43.4,3.2,0.0,Yes,29,Male,0
166,Data Analyst,Bachelor's,3.7,53.0,59.5,60.7,67.3,1,7,51.0,2,12.8,0.0,56.5,7.2,3.6,No,32,Female,0
167,Strategy Consultant,Bachelor's,5.0,41.4,69.4,72.6,73.5,1,3,40.5,5,28.3,0.0,36.2,8.6,0.8,Open to Remote,27,Male,0
168,Strategy Consultant,Bachelor's,3.7,73.6,91.7,74.1,86.4,1,3,80.2,2,16.7,1.0,75.1,7.7,3.6,Yes,33,Male,1
169,Data Analyst,Bachelor's,6.8,48.3,53.0,67.1,60.8,0,5,52.4,5,46.3,0.0,57.1,1.3,4.0,Yes,38,Female,0
170,Strategy Consultant,Master's,4.0,38.7,56.1,74.2,65.7,1,3,46.3,2,34.0,0.0,37.4,6.1,0.0,Yes,28,Female,0
171,Software Engineer,Master's,5.5,100.0,75.7,82.7,95.2,1,1,82.0,1,28.3,0.0,69.2,6.4,3.9,Yes,39,Male,1
172,Data Analyst,Master's,1.0,79.1,42.8,49.1,48.3,1,0,31.4,2,73.4,0.0,13.6,8.0,10.0,Yes,25,Male,0
173,Software Engineer,Master's,2.3,59.0,51.3,49.4,56.0,0,5,100.0,2,60.8,0.0,62.1,9.8,5.7,Yes,34,Female,0
174,Strategy Consultant,Bachelor's,1.7,33.8,70.7,95.4,62.9,1,3,64.2,2,5.5,0.0,55.5,6.5,0.0,No,32,Male,0
175,Software Engineer,Master's,0.0,44.9,64.5,52.7,50.1,1,2,46.9,0,1.6,0.0,9.8,5.8,7.4,No,23,Male,0
176,Software Engineer,Bachelor's,4.7,71.5,44.5,69.0,76.2,0,6,73.0,3,18.6,0.0,20.5,6.5,7.5,Open to Remote,30,Male,0
177,Data Analyst,Bachelor's,10.5,75.9,73.3,62.0,89.2,1,5,96.9,0,38.8,0.0,52.5,4.3,6.7,Open to Remote,29,Male,1
178,Strategy Consultant,Master's,0.0,72.8,80.3,66.6,44.7,1,2,41.4,4,60.7,1.0,45.2,5.0,1.4,Yes,24,Female,0
179,Strategy Consultant,Bachelor's,1.2,21.6,62.1,84.8,52.8,1,2,30.7,1,14.3,0.0,44.0,8.3,0.0,Yes,31,Male,0
180,Sales Executive,Bachelor's,2.0,25.1,79.9,82.8,58.0,1,3,74.5,4,43.0,1.0,47.2,8.4,0.0,Open to Remote,30,Male,0
