candidate_id,job_role,education_level,years_experience,technical_skill_score,aptitude_score,communication_score,interview_score,internship_experience,projects_count,project_quality_score,certifications_count,certification_prestige_score,competition_awards_count,ats_score,linkedin_profile_score,github_coding_profile_score,relocation_preference,age,gender,selected,selection_probability,hiring_score,rank_in_role,role_applicant_count,percentile_in_role
23,Strategy Consultant,Bachelor's,2.3,23.5,67.6,71.7,49.8,0,7,49.6,5,68.6,1.0,45.7,5.2,1.7,No,36,Male,0,0.0543,5.4,714,804,10.6
24,Strategy Consultant,High School,5.9,48.1,61.1,48.3,66.3,1,3,42.7,2,81.2,1.0,75.1,3.0,1.7,Open to Remote,26,Male,0,0.0749,7.5,567,804,29.4
25,Sales Executive,High School,10.0,58.1,62.8,56.8,39.4,0,3,58.8,8,100.0,0.0,92.3,8.2,2.0,Yes,41,Male,1,0.7111,71.1,54,981,94.6
26,Software Engineer,Bachelor's,10.5,74.2,67.3,30.3,49.4,0,1,36.6,1,18.8,0.0,54.3,4.9,4.1,Yes,42,Female,0,0.0921,9.2,1012,1221,17.0
27,Data Analyst,Bachelor's,5.4,72.0,72.5,78.0,80.8,0,2,18.7,1,13.1,0.0,30.4,6.4,0.4,Open to Remote,31,Male,0,0.4189,41.9,260,994,73.9
28,Software Engineer,Bachelor's,6.5,58.7,60.4,76.4,88.2,0,1,21.4,1,3.3,0.0,42.9,3.2,2.5,No,32,Female,0,0.171,17.1,709,1221,41.9
29,Software Engineer,Bachelor's,0.9,73.8,61.8,71.3,69.5,1,3,61.9,4,45.5,0.0,52.5,1.7,8.5,Yes,36,Male,1,0.4304,43.0,295,1221,75.9
30,Sales Executive,Bachelor's,0.0,43.6,49.7,72.9,43.3,1,2,72.0,2,0.0,0.0,56.5,4.6,0.0,Open to Remote,22,Male,0,0.1101,11.0,889,981,9.4
31,Sales Executive,High School,1.7,41.9,51.3,53.6,71.4,0,4,82.1,2,74.2,0.0,14.6,6.6,0.4,No,21,Female,0,0.1769,17.7,749,981,23.6
32,Strategy Consultant,PhD,8.6,39.8,78.3,54.2,54.9,1,1,44.8,1,11.5,0.0,71.1,2.9,1.4,Yes,37,Male,0,0.1307,13.1,403,804,49.9
33,Data Analyst,High School,8.5,78.7,39.1,45.2,63.1,0,4,70.4,1,23.2,1.0,41.7,5.8,8.1,Open to Remote,31,Male,0,0.2846,28.5,425,994,57.3
34,Data Analyst,Bachelor's,6.0,70.2,72.3,59.3,63.0,1,4,79.4,3,41.9,1.0,63.7,8.8,6.5,Yes,28,Male,1,0.716,71.6,28,994,97.3
35,Data Analyst,Bachelor's,1.7,68.7,55.0,80.8,70.5,1,3,82.5,2,5.5,1.0,54.8,0.5,5.4,Open to Remote,29,Female,0,0.2574,25.7,457,994,54.0
36,Software Engineer,Bachelor's,0.0,100.0,59.9,75.8,72.8,1,4,76.1,2,49.5,1.0,51.7,4.1,7.9,Yes,21,Male,0,0.6042,60.4,130,1221,89.4
37,Software Engineer,Bachelor's,0.7,77.1,41.6,47.7,83.3,1,2,57.9,0,24.9,0.0,86.1,5.2,10.0,Open to Remote,28,Female,0,0.2811,28.1,485,1221,60.2
38,Data Analyst,Master's,0.0,83.0,62.6,26.5,71.4,0,2,60.6,1,17.0,0.0,51.8,5.1,2.8,Open to Remote,24,Other,0,0.1739,17.4,609,994,38.8
39,Software Engineer,Bachelor's,2.8,74.1,69.2,37.5,81.0,1,1,66.4,2,37.1,1.0,39.5,8.1,10.0,Open to Remote,35,Female,0,0.3621,36.2,371,1221,69.7
40,Sales Executive,Bachelor's,1.7,39.7,61.9,92.8,55.5,1,4,31.3,2,27.8,0.0,60.6,6.1,1.0,No,35,Male,0,0.1946,19.5,717,981,26.9
41,Data Analyst,Master's,1.7,49.1,50.2,63.5,32.6,1,2,47.0,4,43.2,0.0,69.9,4.9,4.8,No,32,Female,0,0.0618,6.2,953,994,4.0
42,Strategy Consultant,Master's,2.1,53.6,78.1,64.7,61.3,1,5,73.3,4,30.1,3.0,49.5,5.8,2.4,No,31,Male,0,0.0689,6.9,606,804,24.4
43,Sales Executive,High School,3.0,5.0,72.1,68.6,77.6,1,4,11.4,4,45.9,0.0,45.0,8.0,0.0,No,21,Female,1,0.3566,35.7,445,981,54.6
44,Data Analyst,Bachelor's,7.4,69.1,60.6,48.7,55.5,0,6,93.2,2,37.9,0.0,76.6,8.8,2.7,No,33,Male,1,0.4602,46.0,224,994,77.5
45,Strategy Consultant,Master's,10.5,54.7,72.0,51.9,71.5,1,1,61.8,2,13.0,1.0,49.5,6.5,1.9,Open to Remote,33,Male,0,0.1383,13.8,393,804,51.1
46,Strategy Consultant,Master's,7.3,46.7,41.0,100.0,51.3,1,2,11.0,2,35.3,0.0,46.8,9.6,2.0,No,36,Male,0,0.0797,8.0,536,804,33.0
47,Data Analyst,Bachelor's,1.8,63.6,54.5,85.8,58.7,0,4,55.6,2,0.0,0.0,71.7,5.7,6.3,No,42,Female,0,0.2073,20.7,548,994,44.9
48,Software Engineer,Bachelor's,0.0,51.2,69.1,42.7,52.6,1,4,52.5,1,47.4,0.0,49.9,3.0,8.6,No,21,Female,0,0.0844,8.4,1050,1221,13.9
49,Sales Executive,Bachelor's,2.1,65.8,69.3,48.7,86.2,0,3,41.7,4,19.0,0.0,41.0,9.2,5.4,Yes,27,Male,0,0.2093,20.9,697,981,29.0
50,Software Engineer,Bachelor's,3.0,64.9,56.0,57.5,72.8,1,5,56.0,0,0.0,0.0,56.2,5.5,5.6,Yes,25,Male,0,0.1692,16.9,717,1221,41.4
51,Software Engineer,Master's,1.6,55.4,100.0,52.8,43.2,0,3,45.2,2,19.5,0.0,34.6,8.4,7.9,Yes,30,Female,0,0.0892,8.9,1028,1221,15.6
52,Software Engineer,High School,5.4,78.2,69.7,64.4,78.8,1,5,84.4,3,41.1,0.0,58.2,7.1,8.6,No,29,Female,1,0.7396,74.0,29,1221,97.7
53,Sales Executive,Bachelor's,2.2,46.7,35.9,87.8,44.1,1,1,62.5,0,9.7,1.0,71.1,8.9,1.8,No,28,Female,0,0.1366,13.7,834,981,15.0
54,Sales Executive,Master's,4.6,39.6,74.3,57.4,48.1,0,5,71.8,4,59.9,1.0,25.6,5.5,0.8,Open to Remote,35,Male,1,0.3082,30.8,520,981,47.0
55,Sales Executive,Bachelor's,0.0,38.0,36.2,94.2,63.3,0,2,27.0,3,31.9,0.0,48.7,5.1,0.0,Open to Remote,22,Female,0,0.2319,23.2,652,981,33.6
56,Sales Executive,Bachelor's,1.0,44.9,59.9,69.7,74.9,1,1,53.7,6,53.7,0.0,63.2,6.9,0.5,No,23,Female,1,0.3863,38.6,402,981,59.1
57,Data Analyst,Master's,0.0,85.2,54.1,69.1,86.4,0,6,92.4,2,27.1,0.0,60.2,2.8,7.9,No,23,Male,1,0.6681,66.8,61,994,93.9
58,Sales Executive,High School,2.8,52.0,34.6,71.1,57.4,1,0,0.0,1,57.0,0.0,80.9,4.8,5.8,No,27,Male,0,0.0868,8.7,933,981,4.9
59,Software Engineer,Bachelor's,0.0,69.5,79.4,68.8,76.4,1,0,63.2,1,14.7,0.0,58.6,4.0,3.2,Yes,22,Male,0,0.1515,15.2,769,1221,36.9
60,Software Engineer,Bachelor's,2.5,82.8,61.1,19.6,70.3,0,7,89.2,0,66.3,0.0,68.5,3.0,7.0,Open to Remote,29,Male,1,0.4658,46.6,251,1221,79.5
61,Sales Executive,Bachelor's,1.1,45.4,80.9,86.1,51.4,0,2,48.7,1,62.8,0.0,79.1,6.8,0.0,No,28,Female,0,0.4354,43.5,342,981,65.2
62,Data Analyst,Bachelor's,2.0,71.0,52.7,47.5,79.2,1,4,33.9,2,6.4,0.0,68.1,6.1,3.4,No,24,Male,0,0.0948,9.5,858,994,13.6
63,Sales Executive,High School,3.7,47.3,31.6,76.1,43.8,0,6,99.2,2,48.7,1.0,51.5,5.9,1.5,No,34,Female,0,0.1455,14.6,807,981,17.7
64,Sales Executive,Bachelor's,3.7,53.8,47.8,93.7,69.1,0,5,72.2,3,24.9,0.0,44.9,4.5,0.0,Yes,29,Male,1,0.5074,50.7,264,981,73.1
65,Sales Executive,Bachelor's,5.1,38.3,98.4,63.0,59.0,0,2,57.4,1,26.2,1.0,46.6,5.3,0.0,Yes,35,Female,1,0.5407,54.1,230,981,76.7
66,Sales Executive,Bachelor's,2.4,27.9,67.5,60.6,37.4,1,2,16.5,4,12.2,0.0,53.9,7.5,0.0,Open to Remote,28,Female,0,0.1824,18.2,740,981,24.7
67,Sales Executive,Bachelor's,5.5,58.6,63.3,69.4,69.3,1,1,52.8,2,28.6,0.0,39.3,6.5,1.4,Open to Remote,29,Female,0,0.3506,35.1,460,981,53.2
68,Data Analyst,Bachelor's,3.4,87.6,76.8,53.5,75.3,1,2,67.9,2,86.1,0.0,88.3,5.7,4.1,Yes,26,Female,1,0.6908,69.1,43,994,95.7
69,Software Engineer,Bachelor's,1.1,53.6,57.7,39.2,48.5,1,5,63.3,5,35.8,0.0,99.5,3.7,9.6,No,29,Male,0,0.1405,14.0,801,1221,34.4
70,Data Analyst,Bachelor's,6.1,67.7,100.0,61.6,73.4,0,5,47.0,2,28.3,0.0,57.2,6.1,4.9,Open to Remote,33,Female,0,0.4139,41.4,264,994,73.4
71,Software Engineer,Bachelor's,3.9,63.3,71.9,57.4,82.1,1,4,61.9,4,47.4,0.0,21.7,7.1,5.1,No,27,Female,0,0.2471,24.7,543,1221,55.6
72,Data Analyst,Bachelor's,5.3,78.3,73.5,66.9,99.2,0,5,56.3,0,6.3,0.0,75.2,6.1,1.5,Open to Remote,32,Male,0,0.5064,50.6,179,994,82.1
73,Strategy Consultant,Bachelor's,1.2,53.7,86.8,57.7,80.1,1,2,35.5,3,62.3,0.0,55.6,5.6,0.0,Open to Remote,24,Other,0,0.077,7.7,553,804,31.0
74,Software Engineer,Bachelor's,6.3,100.0,45.9,40.8,66.4,1,2,82.9,1,14.8,0.0,78.4,2.2,6.5,No,34,Male,1,0.5904,59.0,141,1221,88.5
75,Software Engineer,Master's,2.0,65.5,51.8,53.2,37.4,0,2,53.2,0,16.2,0.0,55.8,7.1,8.1,Yes,26,Female,0,0.089,8.9,1028,1221,15.6
76,Software Engineer,Bachelor's,1.1,93.1,61.3,51.3,76.5,1,3,64.5,1,28.8,0.0,82.3,9.9,8.6,Open to Remote,34,Male,0,0.5637,56.4,164,1221,86.7
77,Software Engineer,Bachelor's,6.9,94.5,79.9,51.6,83.2,0,2,39.2,3,62.4,0.0,49.3,7.3,9.0,Open to Remote,29,Female,0,0.4807,48.1,235,1221,80.8
78,Sales Executive,Bachelor's,4.0,53.0,35.5,64.4,61.0,1,2,47.1,1,16.2,0.0,61.7,6.7,2.2,Yes,38,Male,1,0.3721,37.2,423,981,57.0
79,Sales Executive,High School,3.4,45.6,54.0,80.0,46.5,1,3,49.0,1,69.2,0.0,57.9,7.3,3.1,Open to Remote,22,Male,1,0.4458,44.6,327,981,66.7
80,Sales Executive,High School,3.0,46.4,51.9,60.9,63.3,1,3,34.3,0,0.0,0.0,59.8,8.1,0.2,No,21,Male,0,0.1953,19.5,717,981,26.9
81,Sales Executive,Bachelor's,10.5,45.2,31.4,73.2,69.6,0,1,59.1,3,26.0,1.0,67.1,4.5,0.6,No,25,Other,0,0.2421,24.2,633,981,35.4
82,Data Analyst,Bachelor's,0.0,82.0,60.4,55.4,54.4,0,2,75.3,0,41.7,0.0,79.0,5.6,3.6,Open to Remote,21,Male,1,0.3665,36.6,326,994,67.3
83,Strategy Consultant,Bachelor's,0.0,36.9,80.1,69.5,69.5,0,2,29.1,4,33.6,1.0,26.6,6.4,0.0,Open to Remote,21,Female,0,0.0511,5.1,750,804,6.2
84,Software Engineer,Bachelor's,8.4,67.6,42.8,72.8,52.2,1,4,71.4,4,48.4,1.0,72.9,5.0,10.0,No,33,Male,0,0.3592,35.9,376,1221,69.2
85,Software Engineer,Master's,4.5,65.8,86.2,35.3,60.0,0,4,30.4,2,11.7,0.0,60.2,4.6,6.6,Yes,29,Female,0,0.114,11.4,930,1221,23.7
86,Software Engineer,Master's,0.7,44.1,72.0,19.1,32.3,1,4,63.0,0,0.0,0.0,47.2,6.1,4.5,Open to Remote,26,Male,0,0.0643,6.4,1152,1221,5.6
87,Sales Executive,High School,2.5,57.9,60.2,66.1,57.3,1,3,69.4,0,6.6,0.0,60.2,5.0,0.0,Yes,27,Female,0,0.3047,30.5,525,981,46.5
88,Data Analyst,Bachelor's,3.0,80.9,68.1,42.7,59.6,1,2,36.1,1,39.1,0.0,65.1,4.0,9.6,No,25,Female,0,0.1313,13.1,716,994,27.9
89,Software Engineer,Master's,2.4,60.5,48.6,9.8,44.1,0,1,44.4,4,32.9,0.0,57.1,6.0,7.5,No,39,Male,0,0.0591,5.9,1185,1221,2.9
90,Data Analyst,Bachelor's,3.0,80.5,58.3,86.2,86.5,0,2,58.4,0,28.3,0.0,25.0,5.4,6.0,No,25,Male,1,0.4764,47.6,206,994,79.4
91,Software Engineer,Master's,0.0,46.2,70.4,63.4,74.1,0,3,100.0,1,13.9,0.0,54.4,5.5,5.8,Open to Remote,21,Female,0,0.3277,32.8,415,1221,66.1
92,Sales Executive,High School,10.5,45.4,45.2,85.0,51.4,0,4,100.0,1,37.6,0.0,47.4,8.9,0.0,Yes,34,Male,1,0.7963,79.6,1,981,100.0
93,Data Analyst,Bachelor's,5.6,63.1,70.8,55.7,67.1,0,6,80.7,1,0.0,0.0,62.7,5.3,2.2,Open to Remote,28,Male,1,0.5025,50.2,182,994,81.6
94,Data Analyst,Bachelor's,3.7,66.3,54.5,66.3,49.6,0,5,57.9,4,42.7,0.0,55.5,5.1,3.5,No,41,Male,0,0.1359,13.6,698,994,29.8
95,Data Analyst,Bachelor's,1.4,66.2,74.8,53.7,63.1,0,2,56.3,1,17.0,0.0,99.1,6.8,3.6,Open to Remote,26,Female,1,0.3016,30.2,405,994,59.3
96,Sales Executive,Master's,8.2,43.8,62.9,87.2,65.2,1,4,77.4,5,33.7,0.0,47.0,10.0,1.0,No,34,Female,1,0.7283,72.8,39,981,96.1
97,Data Analyst,Master's,5.1,59.2,43.6,62.8,44.7,0,1,13.6,3,62.3,0.0,24.3,4.6,6.8,Open to Remote,35,Female,0,0.0628,6.3,951,994,4.4
98,Software Engineer,Master's,1.6,68.4,66.0,54.5,69.5,1,5,32.9,1,0.0,0.0,55.2,6.4,7.0,Yes,26,Female,0,0.1515,15.2,769,1221,36.9
99,Software Engineer,Bachelor's,1.6,90.4,42.2,55.6,61.9,1,2,38.5,2,38.2,2.0,53.7,5.0,7.9,No,25,Male,0,0.0824,8.2,1060,1221,13.0
100,Strategy Consultant,Master's,3.2,41.3,44.1,92.0,61.7,1,4,70.1,3,47.0,0.0,54.5,4.6,3.0,Yes,33,Male,1,0.3391,33.9,172,804,78.7
101,Strategy Consultant,Master's,3.7,83.8,63.1,72.5,88.3,1,5,89.9,0,9.1,2.0,52.0,6.4,4.1,Yes,32,Male,1,0.6951,69.5,17,804,98.0
102,Sales Executive,Master's,0.0,35.5,97.0,59.6,57.3,1,3,56.6,4,83.8,1.0,61.6,8.2,0.0,No,21,Male,0,0.4835,48.4,282,981,71.3
103,Software Engineer,Master's,0.0,73.6,76.6,60.0,79.9,1,3,80.1,5,60.6,0.0,58.1,3.8,7.9,No,22,Male,0,0.6369,63.7,104,1221,91.5
104,Strategy Consultant,Master's,0.0,58.6,92.9,77.3,92.7,1,2,46.3,5,37.6,0.0,61.7,8.7,2.0,Yes,21,Female,1,0.6927,69.3,18,804,97.9
105,Sales Executive,Bachelor's,2.4,40.6,64.1,72.8,75.5,0,2,39.3,3,28.3,0.0,79.6,6.2,1.5,Yes,33,Male,1,0.5669,56.7,191,981,80.6
106,Sales Executive,Bachelor's,3.3,65.7,58.1,74.2,64.1,1,4,70.6,4,35.5,0.0,57.8,6.1,0.1,No,27,Male,0,0.2429,24.3,630,981,35.8
107,Data Analyst,Bachelor's,6.0,73.2,81.4,44.0,53.8,0,2,84.8,1,15.8,2.0,31.6,7.0,2.8,No,28,Male,0,0.3075,30.8,393,994,60.4
108,Software Engineer,Bachelor's,0.0,66.9,55.4,56.5,51.3,1,4,71.5,4,67.5,1.0,47.1,6.0,6.6,No,21,Male,0,0.1221,12.2,893,1221,26.9
109,Software Engineer,Bachelor's,0.0,90.6,72.1,36.8,47.2,1,4,69.5,6,69.8,1.0,35.1,4.0,7.5,Open to Remote,22,Male,0,0.1759,17.6,696,1221,42.9
110,Strategy Consultant,Master's,2.0,34.8,89.7,66.2,70.5,1,2,49.7,3,59.4,0.0,36.9,3.9,3.3,No,26,Male,0,0.0605,6.0,673,804,15.9
111,Data Analyst,Bachelor's,3.0,56.5,78.5,50.0,69.8,1,5,92.6,0,0.0,0.0,0.0,8.9,4.6,No,25,Male,1,0.3728,37.3,319,994,68.0
112,Software Engineer,Master's,1.0,78.4,83.6,69.7,78.3,1,2,49.0,2,38.1,0.0,76.4,5.8,4.4,Open to Remote,30,Female,0,0.4369,43.7,283,1221,76.9
113,Data Analyst,Bachelor's,10.3,77.0,70.7,83.2,60.8,0,2,47.0,5,82.4,0.0,29.6,9.2,2.7,No,33,Female,1,0.7438,74.4,16,994,98.5
114,Sales Executive,Bachelor's,1.7,49.8,80.4,57.8,57.4,1,2,38.4,1,1.6,0.0,66.9,6.0,0.0,No,43,Female,0,0.1375,13.8,830,981,15.3
115,Software Engineer,Bachelor's,2.6,68.1,61.9,54.9,78.2,1,2,67.1,2,28.3,0.0,44.2,6.2,6.7,Yes,29,Female,0,0.2577,25.8,520,1221,57.5
116,Strategy Consultant,Master's,10.5,46.2,100.0,65.3,76.3,0,3,37.8,1,19.6,0.0,46.1,4.0,0.0,Yes,36,Female,1,0.4696,47.0,97,804,88.1
117,Sales Executive,High School,1.4,62.0,63.6,82.0,78.9,0,4,74.1,2,45.5,1.0,88.0,5.0,0.0,No,24,Female,0,0.4927,49.3,275,981,72.1
118,Sales Executive,Bachelor's,0.0,48.6,49.2,76.4,98.2,1,6,44.1,0,6.2,0.0,45.9,6.1,4.5,Open to Remote,21,Male,0,0.3478,34.8,465,981,52.7
119,Data Analyst,Master's,3.0,51.9,50.3,54.2,56.2,1,4,54.9,1,40.1,0.0,33.5,8.8,4.5,Open to Remote,27,Female,0,0.1247,12.5,743,994,25.2
120,Sales Executive,Bachelor's,0.0,31.1,42.9,76.4,24.6,1,3,46.3,4,39.4,3.0,37.8,7.5,1.1,No,21,Male,0,0.1165,11.6,875,981,10.8
121,Sales Executive,Master's,5.0,67.7,40.6,71.8,47.8,0,3,90.5,2,85.6,1.0,32.0,9.2,0.0,No,29,Male,0,0.2664,26.6,591,981,39.7
122,Sales Executive,Master's,0.0,34.2,53.7,98.8,66.3,0,5,77.7,2,38.5,0.0,65.5,10.0,0.8,No,24,Male,1,0.4941,49.4,274,981,72.2
123,Software Engineer,Bachelor's,0.0,74.1,45.9,43.1,55.0,1,5,65.8,0,28.3,1.0,69.5,7.4,3.3,Open to Remote,21,Male,0,0.1079,10.8,947,1221,22.3
124,Data Analyst,Bachelor's,0.2,85.3,87.4,63.9,76.4,0,2,48.3,2,44.2,0.0,55.3,7.3,5.2,No,39,Female,0,0.4607,46.1,223,994,77.7
125,Software Engineer,Bachelor's,4.0,78.1,66.7,62.6,67.4,1,3,49.3,2,23.7,1.0,74.9,5.8,4.2,No,26,Male,0,0.2031,20.3,626,1221,48.7
126,Data Analyst,High School,3.0,53.6,69.1,66.6,53.4,1,3,33.9,3,39.1,0.0,65.4,8.4,7.8,Yes,21,Female,0,0.2623,26.2,449,994,54.9
127,Data Analyst,Bachelor's,2.7,49.8,50.5,55.5,56.5,1,3,82.0,2,39.0,0.0,46.9,6.2,9.2,No,34,Female,0,0.1558,15.6,647,994,34.9
128,Software Engineer,Bachelor's,2.5,98.0,53.5,75.5,93.5,1,2,47.8,3,0.0,0.0,69.4,7.8,5.5,No,25,Male,0,0.4425,44.2,277,1221,77.3
129,Software Engineer,Master's,5.7,54.4,31.7,23.7,57.6,1,4,91.3,2,50.5,0.0,48.8,4.9,3.5,Yes,36,Male,0,0.2482,24.8,540,1221,55.8
130,Sales Executive,Bachelor's,3.0,36.7,79.3,58.6,77.6,1,1,38.8,3,41.7,0.0,36.0,6.1,0.0,No,25,Male,0,0.1445,14.4,812,981,17.2
131,Software Engineer,Bachelor's,3.5,75.6,43.7,65.0,50.8,1,4,65.2,2,42.2,0.0,7.8,6.4,3.3,Yes,26,Male,0,0.129,12.9,850,1221,30.1
132,Strategy Consultant,Master's,4.8,46.7,51.9,56.8,51.6,1,3,53.8,2,43.6,0.0,45.9,5.9,0.2,Yes,31,Other,0,0.1925,19.2,312,804,61.2
133,Sales Executive,High School,1.3,53.6,76.2,60.9,59.2,0,4,81.9,2,5.4,2.0,53.1,4.2,0.0,No,33,Female,0,0.14,14.0,825,981,16.0
134,Data Analyst,Master's,3.0,43.0,73.8,53.0,62.8,0,2,29.5,4,47.0,0.0,22.7,6.1,7.4,Yes,34,Female,0,0.0806,8.1,897,994,9.7
135,Sales Executive,Bachelor's,1.4,41.8,56.8,63.2,52.8,0,1,47.7,6,59.4,1.0,67.0,6.1,0.0,Yes,28,Male,0,0.312,31.2,513,981,47.8
136,Software Engineer,Master's,1.4,80.2,70.1,64.6,69.0,0,0,43.4,2,6.4,1.0,55.3,3.5,4.0,No,32,Female,0,0.097,9.7,991,1221,18.8
137,Strategy Consultant,Bachelor's,4.5,60.2,86.3,83.6,93.7,0,4,69.3,3,67.3,0.0,63.2,6.1,2.9,Yes,33,Female,1,0.5938,59.4,46,804,94.4
138,Data Analyst,Master's,3.6,56.4,69.5,61.3,63.2,1,3,51.2,4,82.7,0.0,59.3,6.1,3.6,Yes,30,Male,1,0.4806,48.1,203,994,79.6
139,Sales Executive,High School,2.4,29.7,31.8,90.8,53.2,0,3,40.4,1,16.5,0.0,44.9,9.2,4.3,Open to Remote,28,Male,0,0.2491,24.9,622,981,36.6
140,Software Engineer,Bachelor's,0.0,73.2,76.0,34.2,65.3,1,4,75.4,2,41.4,0.0,46.4,6.1,7.0,No,21,Male,0,0.1878,18.8,666,1221,45.5
141,Data Analyst,Master's,4.8,45.3,74.3,61.1,67.6,1,2,20.7,2,30.0,0.0,36.7,6.9,5.5,Open to Remote,33,Male,0,0.1635,16.4,624,994,37.2
142,Data Analyst,Bachelor's,5.8,84.3,85.6,80.2,91.4,0,3,88.4,1,16.9,1.0,26.7,5.2,5.7,No,29,Female,1,0.7536,75.4,10,994,99.0
143,Strategy Consultant,Master's,3.0,52.4,53.3,84.7,82.6,1,0,37.7,1,15.2,0.0,81.9,5.9,1.8,Yes,27,Female,1,0.5395,54.0,66,804,91.9
144,Sales Executive,Master's,0.7,34.5,44.1,96.5,43.7,1,5,50.5,4,19.8,1.0,54.7,6.7,0.5,Yes,37,Male,0,0.5162,51.6,252,981,74.4
145,Data Analyst,Bachelor's,0.0,49.2,73.9,51.1,61.2,0,2,53.4,0,24.3,0.0,32.4,4.6,4.6,Yes,21,Female,0,0.0725,7.2,926,994,6.9
146,Software Engineer,Master's,1.8,60.5,50.8,68.8,59.3,1,3,43.6,1,11.2,1.0,65.9,5.0,9.7,Open to Remote,39,Male,0,0.156,15.6,755,1221,38.2
