candidate_id,job_role,hiring_score,rank_in_role,role_applicant_count,percentile_in_role,selected
68,Data Analyst,69.1,43,994,95.7,1
1281,Data Analyst,69.1,43,994,95.7,1
2020,Data Analyst,69.1,43,994,95.7,1
676,Data Analyst,69.0,46,994,95.5,1
3115,Data Analyst,68.8,47,994,95.4,1
3295,Data Analyst,68.7,48,994,95.3,1
401,Data Analyst,68.6,49,994,95.1,1
1423,Data Analyst,68.6,49,994,95.1,1
2330,Data Analyst,68.4,51,994,94.9,1
3858,Data Analyst,68.4,51,994,94.9,1
22,Data Analyst,68.1,53,994,94.8,1
1262,Data Analyst,67.8,54,994,94.6,1
3358,Data Analyst,67.8,54,994,94.6,1
1545,Data Analyst,67.5,56,994,94.5,1
314,Data Analyst,67.4,57,994,94.4,1
738,Data Analyst,67.2,58,994,94.3,0
1354,Data Analyst,67.1,59,994,94.1,1
2993,Data Analyst,67.1,59,994,94.1,1
57,Data Analyst,66.8,61,994,93.9,1
494,Data Analyst,66.8,61,994,93.9,1
1348,Data Analyst,66.8,61,994,93.9,1
546,Data Analyst,66.4,64,994,93.7,1
3709,Data Analyst,65.6,65,994,93.6,1
1812,Data Analyst,65.5,66,994,93.5,1
1823,Data Analyst,65.3,67,994,93.4,1
1283,Data Analyst,65.0,68,994,93.3,1
2055,Data Analyst,64.9,69,994,93.2,1
1808,Data Analyst,64.8,70,994,93.0,1
3893,Data Analyst,64.8,70,994,93.0,0
3481,Data Analyst,64.7,72,994,92.9,1
1175,Data Analyst,64.6,73,994,92.7,1
1343,Data Analyst,64.6,73,994,92.7,1
2205,Data Analyst,64.6,73,994,92.7,1
730,Data Analyst,64.4,76,994,92.5,1
3833,Data Analyst,64.3,77,994,92.4,1
384,Data Analyst,64.2,78,994,92.3,1
3740,Data Analyst,64.1,79,994,92.2,0
1970,Data Analyst,63.8,80,994,92.1,1
2308,Data Analyst,63.6,81,994,92.0,1
3438,Data Analyst,63.5,82,994,91.9,1
315,Data Analyst,63.4,83,994,91.7,1
2238,Data Analyst,63.4,83,994,91.7,1
3501,Data Analyst,63.3,85,994,91.5,1
3320,Data Analyst,63.0,86,994,91.4,1
2900,Data Analyst,62.7,87,994,91.3,0
472,Data Analyst,62.4,88,994,91.2,1
3864,Data Analyst,62.3,89,994,91.1,0
1076,Data Analyst,62.2,90,994,91.0,1
2439,Data Analyst,62.2,90,994,91.0,1
2370,Data Analyst,62.0,92,994,90.8,1
2511,Data Analyst,62.0,92,994,90.8,1
818,Data Analyst,61.9,94,994,90.5,0
833,Data Analyst,61.9,94,994,90.5,1
2878,Data Analyst,61.9,94,994,90.5,0
1527,Data Analyst,61.5,97,994,90.3,0
2414,Data Analyst,61.4,98,994,90.2,1
2884,Data Analyst,61.3,99,994,90.1,0
3127,Data Analyst,61.1,100,994,90.0,1
2587,Data Analyst,61.0,101,994,89.9,1
757,Data Analyst,60.5,102,994,89.8,1
221,Data Analyst,60.4,103,994,89.7,1
3302,Data Analyst,60.4,103,994,89.7,1
470,Data Analyst,59.9,105,994,89.5,1
2145,Data Analyst,59.8,106,994,89.4,0
187,Data Analyst,59.6,107,994,89.3,1
651,Data Analyst,59.2,108,994,89.1,1
1549,Data Analyst,59.2,108,994,89.1,1
2500,Data Analyst,59.2,108,994,89.1,1
1358,Data Analyst,59.0,111,994,88.9,1
2702,Data Analyst,58.9,112,994,88.8,1
722,Data Analyst,58.6,113,994,88.6,0
3370,Data Analyst,58.6,113,994,88.6,1
3866,Data Analyst,58.6,113,994,88.6,1
2231,Data Analyst,58.2,116,994,88.4,1
1977,Data Analyst,58.1,117,994,88.3,0
3870,Data Analyst,58.1,117,994,88.3,1
1886,Data Analyst,57.9,119,994,88.1,1
847,Data Analyst,57.8,120,994,88.0,1
1881,Data Analyst,57.8,120,994,88.0,1
1177,Data Analyst,57.4,122,994,87.7,0
1671,Data Analyst,57.4,122,994,87.7,1
3762,Data Analyst,57.4,122,994,87.7,1
1748,Data Analyst,57.0,125,994,87.5,1
1243,Data Analyst,56.9,126,994,87.3,0
2112,Data Analyst,56.9,126,994,87.3,1
3122,Data Analyst,56.9,126,994,87.3,1
1818,Data Analyst,56.8,129,994,87.1,1
1942,Data Analyst,56.5,130,994,87.0,1
148,Data Analyst,56.4,131,994,86.8,0
1347,Data Analyst,56.4,131,994,86.8,1
1776,Data Analyst,56.4,131,994,86.8,1
438,Data Analyst,56.1,134,994,86.6,0
1479,Data Analyst,56.1,134,994,86.6,1
2936,Data Analyst,56.0,136,994,86.4,1
3519,Data Analyst,55.9,137,994,86.3,1
3935,Data Analyst,55.9,137,994,86.3,1
901,Data Analyst,55.7,139,994,86.1,0
385,Data Analyst,55.6,140,994,86.0,1
3744,Data Analyst,55.6,140,994,86.0,0
476,Data Analyst,55.4,142,994,85.8,1
3533,Data Analyst,55.4,142,994,85.8,0
2448,Data Analyst,55.0,144,994,85.6,1
3345,Data Analyst,54.9,145,994,85.5,1
3916,Data Analyst,54.5,146,994,85.4,1
1404,Data Analyst,54.3,147,994,85.3,1
1696,Data Analyst,54.2,148,994,85.2,1
500,Data Analyst,54.1,149,994,85.1,1
526,Data Analyst,53.9,150,994,85.0,1
2790,Data Analyst,53.9,150,994,85.0,1
3088,Data Analyst,53.6,152,994,84.8,1
2096,Data Analyst,53.3,153,994,84.7,1
2053,Data Analyst,53.2,154,994,84.6,1
2357,Data Analyst,53.2,154,994,84.6,0
1380,Data Analyst,53.1,156,994,84.4,1
2047,Data Analyst,53.1,156,994,84.4,0
696,Data Analyst,52.9,158,994,84.2,1
1448,Data Analyst,52.7,159,994,84.1,0
1583,Data Analyst,52.6,160,994,84.0,1
1033,Data Analyst,52.4,161,994,83.9,0
2635,Data Analyst,52.2,162,994,83.8,1
3979,Data Analyst,52.1,163,994,83.7,0
1924,Data Analyst,52.0,164,994,83.6,1
3933,Data Analyst,52.0,164,994,83.6,1
1540,Data Analyst,51.8,166,994,83.4,0
2338,Data Analyst,51.8,166,994,83.4,0
2929,Data Analyst,51.7,168,994,83.2,1
507,Data Analyst,51.3,169,994,82.9,1
802,Data Analyst,51.3,169,994,82.9,0
2161,Data Analyst,51.3,169,994,82.9,0
3803,Data Analyst,51.3,169,994,82.9,1
1715,Data Analyst,51.2,173,994,82.7,0
1108,Data Analyst,51.1,174,994,82.6,0
745,Data Analyst,51.0,175,994,82.4,0
1587,Data Analyst,51.0,175,994,82.4,0
878,Data Analyst,50.7,177,994,82.2,1
2850,Data Analyst,50.7,177,994,82.2,1
72,Data Analyst,50.6,179,994,82.1,0
1566,Data Analyst,50.4,180,994,82.0,1
250,Data Analyst,50.3,181,994,81.9,1
93,Data Analyst,50.2,182,994,81.6,1
288,Data Analyst,50.2,182,994,81.6,1
2249,Data Analyst,50.2,182,994,81.6,1
2767,Data Analyst,50.2,182,994,81.6,1
945,Data Analyst,50.1,186,994,81.3,1
1438,Data Analyst,50.1,186,994,81.3,0
3389,Data Analyst,49.9,188,994,81.2,1
1400,Data Analyst,49.7,189,994,81.0,1
1543,Data Analyst,49.7,189,994,81.0,0
480,Data Analyst,49.6,191,994,80.8,1
2883,Data Analyst,49.6,191,994,80.8,0
1046,Data Analyst,49.4,193,994,80.7,0
2603,Data Analyst,49.3,194,994,80.6,0
2090,Data Analyst,49.0,195,994,80.5,1
2946,Data Analyst,48.9,196,994,80.4,1
2947,Data Analyst,48.8,197,994,80.3,0
1002,Data Analyst,48.7,198,994,80.2,1
1847,Data Analyst,48.6,199,994,80.0,1
2778,Data Analyst,48.6,199,994,80.0,1
3575,Data Analyst,48.5,201,994,79.9,1
1035,Data Analyst,48.2,202,994,79.8,0
138,Data Analyst,48.1,203,994,79.6,1
783,Data Analyst,48.1,203,994,79.6,0
3077,Data Analyst,47.9,205,994,79.5,0
90,Data Analyst,47.6,206,994,79.4,1
2901,Data Analyst,47.4,207,994,79.3,1
2369,Data Analyst,47.3,208,994,79.2,0
2212,Data Analyst,47.1,209,994,79.1,0
2706,Data Analyst,46.9,210,994,78.9,1
3904,Data Analyst,46.9,210,994,78.9,0
1878,Data Analyst,46.8,212,994,78.7,1
2208,Data Analyst,46.8,212,994,78.7,1
3335,Data Analyst,46.7,214,994,78.6,0
709,Data Analyst,46.6,215,994,78.5,1
1070,Data Analyst,46.5,216,994,78.3,1
2222,Data Analyst,46.5,216,994,78.3,0
3658,Data Analyst,46.4,218,994,78.2,0
1417,Data Analyst,46.3,219,994,78.0,0
3468,Data Analyst,46.3,219,994,78.0,0
840,Data Analyst,46.2,221,994,77.8,1
2988,Data Analyst,46.2,221,994,77.8,1
124,Data Analyst,46.1,223,994,77.7,0
44,Data Analyst,46.0,224,994,77.5,1
1263,Data Analyst,46.0,224,994,77.5,0
1141,Data Analyst,45.8,226,994,77.3,0
3240,Data Analyst,45.8,226,994,77.3,0
3254,Data Analyst,45.8,226,994,77.3,0
2717,Data Analyst,45.4,229,994,77.1,1
1637,Data Analyst,45.2,230,994,76.9,1
3107,Data Analyst,45.2,230,994,76.9,1
2538,Data Analyst,45.1,232,994,76.8,1
2798,Data Analyst,44.8,233,994,76.7,1
1922,Data Analyst,44.6,234,994,76.5,0
3095,Data Analyst,44.6,234,994,76.5,0
3499,Data Analyst,44.2,236,994,76.4,1
317,Data Analyst,43.8,237,994,76.3,0
3471,Data Analyst,43.7,238,994,76.2,0
950,Data Analyst,43.6,239,994,75.9,1
987,Data Analyst,43.6,239,994,75.9,1
2843,Data Analyst,43.6,239,994,75.9,0
3277,Data Analyst,43.6,239,994,75.9,1
746,Data Analyst,43.2,243,994,75.6,0
3098,Data Analyst,43.2,243,994,75.6,1
316,Data Analyst,43.1,245,994,75.5,1
881,Data Analyst,43.0,246,994,75.3,0
2126,Data Analyst,43.0,246,994,75.3,1
1138,Data Analyst,42.9,248,994,75.2,0
3683,Data Analyst,42.8,249,994,75.0,0
3918,Data Analyst,42.8,249,994,75.0,0
1259,Data Analyst,42.6,251,994,74.8,1
276,Data Analyst,42.5,252,994,74.7,0
962,Data Analyst,42.5,252,994,74.7,0
2575,Data Analyst,42.4,254,994,74.5,1
1464,Data Analyst,42.3,255,994,74.4,1
3939,Data Analyst,42.3,255,994,74.4,1
184,Data Analyst,42.1,257,994,74.2,0
1914,Data Analyst,42.1,257,994,74.2,0
1703,Data Analyst,42.0,259,994,74.0,0
27,Data Analyst,41.9,260,994,73.9,0
3915,Data Analyst,41.9,260,994,73.9,1
3884,Data Analyst,41.8,262,994,73.7,0
580,Data Analyst,41.7,263,994,73.6,1
70,Data Analyst,41.4,264,994,73.4,0
304,Data Analyst,41.4,264,994,73.4,1
2063,Data Analyst,41.4,264,994,73.4,0
3562,Data Analyst,41.2,267,994,73.2,0
396,Data Analyst,41.1,268,994,73.1,1
1137,Data Analyst,41.0,269,994,73.0,1
3217,Data Analyst,40.9,270,994,72.9,0
839,Data Analyst,40.8,271,994,72.7,1
2905,Data Analyst,40.8,271,994,72.7,1
3674,Data Analyst,40.8,271,994,72.7,0
3920,Data Analyst,40.8,271,994,72.7,0
2601,Data Analyst,40.7,275,994,72.4,0
2559,Data Analyst,40.6,276,994,72.2,1
3376,Data Analyst,40.6,276,994,72.2,0
3449,Data Analyst,40.6,276,994,72.2,0
3876,Data Analyst,40.6,276,994,72.2,0
1037,Data Analyst,40.5,280,994,71.9,0
3927,Data Analyst,40.5,280,994,71.9,0
2164,Data Analyst,40.3,282,994,71.7,1
3768,Data Analyst,40.3,282,994,71.7,0
2486,Data Analyst,40.2,284,994,71.5,0
734,Data Analyst,40.1,285,994,71.4,0
1287,Data Analyst,39.7,286,994,71.3,0
1462,Data Analyst,39.7,286,994,71.3,1
2616,Data Analyst,39.6,288,994,71.1,1
200,Data Analyst,39.4,289,994,71.0,0
551,Data Analyst,39.4,289,994,71.0,1
1895,Data Analyst,39.2,291,994,70.7,1
3666,Data Analyst,39.2,291,994,70.7,0
3905,Data Analyst,39.2,291,994,70.7,1
2137,Data Analyst,39.1,294,994,70.5,1
3546,Data Analyst,39.1,294,994,70.5,0
1864,Data Analyst,39.0,296,994,70.3,1
3375,Data Analyst,38.6,297,994,70.2,1
3542,Data Analyst,38.6,297,994,70.2,0
748,Data Analyst,38.4,299,994,69.9,0
1192,Data Analyst,38.4,299,994,69.9,1
3047,Data Analyst,38.4,299,994,69.9,0
593,Data Analyst,38.3,302,994,69.7,0
2125,Data Analyst,38.2,303,994,69.6,0
289,Data Analyst,38.1,304,994,69.5,1
2434,Data Analyst,38.1,304,994,69.5,0
1381,Data Analyst,37.9,306,994,69.3,0
2306,Data Analyst,37.9,306,994,69.3,0
1373,Data Analyst,37.7,308,994,69.1,0
3999,Data Analyst,37.7,308,994,69.1,0
601,Data Analyst,37.6,310,994,68.9,1
550,Data Analyst,37.5,311,994,68.7,0
1930,Data Analyst,37.5,311,994,68.7,1
2543,Data Analyst,37.5,311,994,68.7,0
3299,Data Analyst,37.5,311,994,68.7,1
932,Data Analyst,37.4,315,994,68.3,0
978,Data Analyst,37.4,315,994,68.3,0
1090,Data Analyst,37.4,315,994,68.3,1
3846,Data Analyst,37.4,315,994,68.3,1
111,Data Analyst,37.3,319,994,68.0,1
3540,Data Analyst,37.2,320,994,67.9,1
3831,Data Analyst,37.1,321,994,67.8,0
1490,Data Analyst,37.0,322,994,67.7,1
312,Data Analyst,36.9,323,994,67.5,0
1480,Data Analyst,36.9,323,994,67.5,1
2263,Data Analyst,36.9,323,994,67.5,0
82,Data Analyst,36.6,326,994,67.3,1
2663,Data Analyst,36.5,327,994,67.2,0
760,Data Analyst,36.4,328,994,67.1,0
3264,Data Analyst,36.4,328,994,67.1,0
1730,Data Analyst,36.3,330,994,66.9,0
2496,Data Analyst,36.3,330,994,66.9,1
1969,Data Analyst,36.2,332,994,66.6,0
3545,Data Analyst,36.2,332,994,66.6,0
3023,Data Analyst,36.0,334,994,66.5,1
1883,Data Analyst,35.9,335,994,66.3,0
2048,Data Analyst,35.9,335,994,66.3,0
2519,Data Analyst,35.9,335,994,66.3,0
253,Data Analyst,35.8,338,994,66.0,0
694,Data Analyst,35.8,338,994,66.0,1
1332,Data Analyst,35.8,338,994,66.0,0
2075,Data Analyst,35.6,341,994,65.7,0
2460,Data Analyst,35.6,341,994,65.7,0
2885,Data Analyst,35.6,341,994,65.7,0
3476,Data Analyst,35.5,344,994,65.5,0
1890,Data Analyst,35.4,345,994,65.3,0
3931,Data Analyst,35.4,345,994,65.3,0
2745,Data Analyst,35.1,347,994,65.2,0
2872,Data Analyst,35.0,348,994,65.1,0
665,Data Analyst,34.8,349,994,64.9,0
1370,Data Analyst,34.8,349,994,64.9,1
2111,Data Analyst,34.6,351,994,64.8,1
2665,Data Analyst,34.4,352,994,64.7,1
560,Data Analyst,34.3,353,994,64.5,0
570,Data Analyst,34.3,353,994,64.5,0
3403,Data Analyst,34.3,353,994,64.5,0
3366,Data Analyst,34.1,356,994,64.2,1
3446,Data Analyst,34.1,356,994,64.2,0
3560,Data Analyst,34.1,356,994,64.2,0
3056,Data Analyst,34.0,359,994,63.9,1
3684,Data Analyst,34.0,359,994,63.9,1
576,Data Analyst,33.9,361,994,63.8,0
959,Data Analyst,33.8,362,994,63.7,1
3960,Data Analyst,33.7,363,994,63.6,0
3156,Data Analyst,33.4,364,994,63.5,1
1366,Data Analyst,33.3,365,994,63.3,0
2034,Data Analyst,33.3,365,994,63.3,0
3828,Data Analyst,33.2,367,994,63.2,0
1026,Data Analyst,33.1,368,994,63.1,0
1885,Data Analyst,33.0,369,994,62.9,0
3583,Data Analyst,33.0,369,994,62.9,0
2315,Data Analyst,32.9,371,994,62.8,0
2475,Data Analyst,32.8,372,994,62.6,0
2637,Data Analyst,32.8,372,994,62.6,1
2854,Data Analyst,32.6,374,994,62.5,0
686,Data Analyst,32.5,375,994,62.2,1
1750,Data Analyst,32.5,375,994,62.2,0
3341,Data Analyst,32.5,375,994,62.2,1
3422,Data Analyst,32.5,375,994,62.2,0
237,Data Analyst,32.4,379,994,62.0,0
1010,Data Analyst,32.3,380,994,61.8,1
1288,Data Analyst,32.3,380,994,61.8,0
2067,Data Analyst,32.0,382,994,61.7,0
796,Data Analyst,31.9,383,994,61.5,1
3911,Data Analyst,31.9,383,994,61.5,0
3897,Data Analyst,31.8,385,994,61.4,0
3600,Data Analyst,31.7,386,994,61.3,1
3337,Data Analyst,31.6,387,994,61.2,0
1927,Data Analyst,31.5,388,994,61.1,0
1907,Data Analyst,31.3,389,994,61.0,0
731,Data Analyst,31.0,390,994,60.8,0
1739,Data Analyst,31.0,390,994,60.8,1
2220,Data Analyst,30.9,392,994,60.7,1
107,Data Analyst,30.8,393,994,60.4,0
1993,Data Analyst,30.8,393,994,60.4,1
2512,Data Analyst,30.8,393,994,60.4,0
3557,Data Analyst,30.8,393,994,60.4,0
1646,Data Analyst,30.7,397,994,60.1,0
1869,Data Analyst,30.7,397,994,60.1,0
3030,Data Analyst,30.7,397,994,60.1,1
1809,Data Analyst,30.6,400,994,59.8,0
2015,Data Analyst,30.6,400,994,59.8,0
3994,Data Analyst,30.6,400,994,59.8,0
1357,Data Analyst,30.4,403,994,59.5,1
2098,Data Analyst,30.4,403,994,59.5,0
95,Data Analyst,30.2,405,994,59.3,1
2852,Data Analyst,30.2,405,994,59.3,1
2729,Data Analyst,30.0,407,994,59.1,0
2833,Data Analyst,30.0,407,994,59.1,1
3588,Data Analyst,30.0,407,994,59.1,0
2492,Data Analyst,29.8,410,994,58.9,0
634,Data Analyst,29.7,411,994,58.7,0
2692,Data Analyst,29.7,411,994,58.7,0
515,Data Analyst,29.6,413,994,58.6,0
569,Data Analyst,29.4,414,994,58.5,0
2239,Data Analyst,29.2,415,994,58.4,0
3973,Data Analyst,29.0,416,994,58.2,1
958,Data Analyst,28.9,417,994,58.1,0
3992,Data Analyst,28.9,417,994,58.1,0
1013,Data Analyst,28.8,419,994,57.8,0
1680,Data Analyst,28.8,419,994,57.8,1
3025,Data Analyst,28.8,419,994,57.8,1
1553,Data Analyst,28.7,422,994,57.6,0
2415,Data Analyst,28.7,422,994,57.6,0
702,Data Analyst,28.6,424,994,57.4,0
33,Data Analyst,28.5,425,994,57.3,0
3823,Data Analyst,28.4,426,994,57.2,0
2839,Data Analyst,28.2,427,994,57.1,0
504,Data Analyst,28.1,428,994,57.0,0
2409,Data Analyst,28.1,428,994,57.0,0
3211,Data Analyst,27.9,430,994,56.8,0
656,Data Analyst,27.8,431,994,56.7,1
2760,Data Analyst,27.8,431,994,56.7,0
877,Data Analyst,27.6,433,994,56.5,1
2136,Data Analyst,27.5,434,994,56.4,1
1819,Data Analyst,27.4,435,994,56.3,0
2764,Data Analyst,27.4,435,994,56.3,0
788,Data Analyst,27.2,437,994,56.1,1
3752,Data Analyst,27.0,438,994,56.0,1
3365,Data Analyst,26.9,439,994,55.9,0
1295,Data Analyst,26.8,440,994,55.7,0
1349,Data Analyst,26.8,440,994,55.7,0
1458,Data Analyst,26.8,440,994,55.7,0
2109,Data Analyst,26.7,443,994,55.4,0
2305,Data Analyst,26.7,443,994,55.4,0
3265,Data Analyst,26.7,443,994,55.4,1
3290,Data Analyst,26.7,443,994,55.4,0
481,Data Analyst,26.6,447,994,55.1,0
3647,Data Analyst,26.5,448,994,55.0,0
126,Data Analyst,26.2,449,994,54.9,0
2673,Data Analyst,26.2,449,994,54.9,1
505,Data Analyst,26.1,451,994,54.7,1
3472,Data Analyst,26.1,451,994,54.7,0
984,Data Analyst,26.0,453,994,54.5,0
1227,Data Analyst,25.9,454,994,54.4,0
2088,Data Analyst,25.9,454,994,54.4,0
2680,Data Analyst,25.8,456,994,54.2,0
35,Data Analyst,25.7,457,994,54.0,0
1191,Data Analyst,25.7,457,994,54.0,0
2879,Data Analyst,25.7,457,994,54.0,0
3898,Data Analyst,25.7,457,994,54.0,0
1582,Data Analyst,25.5,461,994,53.7,0
3294,Data Analyst,25.5,461,994,53.7,0
793,Data Analyst,25.4,463,994,53.5,0
3799,Data Analyst,25.4,463,994,53.5,0
752,Data Analyst,25.3,465,994,53.2,1
1418,Data Analyst,25.3,465,994,53.2,0
3355,Data Analyst,25.3,465,994,53.2,0
3785,Data Analyst,25.3,465,994,53.2,0
648,Data Analyst,25.2,469,994,52.9,1
1531,Data Analyst,25.1,470,994,52.8,0
884,Data Analyst,24.9,471,994,52.6,0
3854,Data Analyst,24.9,471,994,52.6,0
3982,Data Analyst,24.9,471,994,52.6,0
1273,Data Analyst,24.6,474,994,52.4,0
571,Data Analyst,24.5,475,994,52.3,0
3634,Data Analyst,24.5,475,994,52.3,0
1228,Data Analyst,24.4,477,994,52.1,0
2283,Data Analyst,24.4,477,994,52.1,0
1508,Data Analyst,24.3,479,994,51.7,0
1755,Data Analyst,24.3,479,994,51.7,0
1923,Data Analyst,24.3,479,994,51.7,1
2956,Data Analyst,24.3,479,994,51.7,0
2994,Data Analyst,24.3,479,994,51.7,1
374,Data Analyst,24.2,484,994,51.3,0
1717,Data Analyst,24.2,484,994,51.3,0
2971,Data Analyst,24.2,484,994,51.3,0
249,Data Analyst,24.1,487,994,51.0,0
961,Data Analyst,24.1,487,994,51.0,1
1008,Data Analyst,24.1,487,994,51.0,0
3153,Data Analyst,24.1,487,994,51.0,0
2127,Data Analyst,24.0,491,994,50.7,1
1780,Data Analyst,23.6,492,994,50.6,0
2444,Data Analyst,23.6,492,994,50.6,0
1269,Data Analyst,23.5,494,994,50.4,1
2975,Data Analyst,23.4,495,994,50.3,0
2185,Data Analyst,23.3,496,994,50.2,1
3220,Data Analyst,23.3,496,994,50.2,1
2542,Data Analyst,23.2,498,994,50.0,0
1552,Data Analyst,23.1,499,994,49.8,0
2303,Data Analyst,23.1,499,994,49.8,1
203,Data Analyst,23.0,501,994,49.6,0
464,Data Analyst,23.0,501,994,49.6,0
496,Data Analyst,22.9,503,994,49.4,1
1365,Data Analyst,22.9,503,994,49.4,0
1849,Data Analyst,22.7,505,994,49.3,1
323,Data Analyst,22.6,506,994,49.0,0
1210,Data Analyst,22.6,506,994,49.0,0
3570,Data Analyst,22.6,506,994,49.0,0
3700,Data Analyst,22.6,506,994,49.0,0
687,Data Analyst,22.4,510,994,48.7,0
3547,Data Analyst,22.4,510,994,48.7,0
2474,Data Analyst,22.3,512,994,48.5,0
3724,Data Analyst,22.3,512,994,48.5,0
263,Data Analyst,22.2,514,994,48.3,0
740,Data Analyst,22.2,514,994,48.3,1
786,Data Analyst,22.0,516,994,48.0,0
1020,Data Analyst,22.0,516,994,48.0,1
2479,Data Analyst,22.0,516,994,48.0,0
3836,Data Analyst,22.0,516,994,48.0,0
2418,Data Analyst,21.9,520,994,47.8,1
680,Data Analyst,21.8,521,994,47.6,0
979,Data Analyst,21.8,521,994,47.6,1
1971,Data Analyst,21.8,521,994,47.6,0
169,Data Analyst,21.7,524,994,47.4,0
2076,Data Analyst,21.6,525,994,47.3,1
2613,Data Analyst,21.5,526,994,47.1,0
3669,Data Analyst,21.5,526,994,47.1,0
1816,Data Analyst,21.4,528,994,47.0,0
2672,Data Analyst,21.3,529,994,46.9,0
232,Data Analyst,21.2,530,994,46.6,0
944,Data Analyst,21.2,530,994,46.6,0
1982,Data Analyst,21.2,530,994,46.6,0
2363,Data Analyst,21.2,530,994,46.6,0
2676,Data Analyst,21.2,530,994,46.6,0
166,Data Analyst,21.1,535,994,46.1,0
860,Data Analyst,21.1,535,994,46.1,0
1872,Data Analyst,21.1,535,994,46.1,0
2032,Data Analyst,21.1,535,994,46.1,0
1906,Data Analyst,21.0,539,994,45.8,0
2966,Data Analyst,21.0,539,994,45.8,1
3603,Data Analyst,21.0,539,994,45.8,0
626,Data Analyst,20.9,542,994,45.5,1
3247,Data Analyst,20.9,542,994,45.5,0
3437,Data Analyst,20.9,542,994,45.5,1
3124,Data Analyst,20.8,545,994,45.2,0
3524,Data Analyst,20.8,545,994,45.2,0
3553,Data Analyst,20.8,545,994,45.2,0
47,Data Analyst,20.7,548,994,44.9,0
3350,Data Analyst,20.7,548,994,44.9,0
3653,Data Analyst,20.7,548,994,44.9,0
1422,Data Analyst,20.6,551,994,44.6,0
2564,Data Analyst,20.6,551,994,44.6,1
311,Data Analyst,20.5,553,994,44.4,0
891,Data Analyst,20.5,553,994,44.4,1
1614,Data Analyst,20.5,553,994,44.4,1
1631,Data Analyst,20.4,556,994,44.2,0
1688,Data Analyst,20.3,557,994,44.0,0
1943,Data Analyst,20.3,557,994,44.0,0
2937,Data Analyst,20.3,557,994,44.0,0
286,Data Analyst,20.2,560,994,43.7,0
739,Data Analyst,20.2,560,994,43.7,0
3379,Data Analyst,20.2,560,994,43.7,1
1015,Data Analyst,20.1,563,994,43.4,0
1506,Data Analyst,20.1,563,994,43.4,0
3792,Data Analyst,20.1,563,994,43.4,0
1569,Data Analyst,20.0,566,994,43.1,0
2135,Data Analyst,20.0,566,994,43.1,0
2628,Data Analyst,20.0,566,994,43.1,0
1282,Data Analyst,19.9,569,994,42.8,0
1397,Data Analyst,19.9,569,994,42.8,0
3279,Data Analyst,19.9,569,994,42.8,0
3507,Data Analyst,19.8,572,994,42.5,0
3554,Data Analyst,19.8,572,994,42.5,0
1325,Data Analyst,19.7,574,994,42.2,0
1488,Data Analyst,19.7,574,994,42.2,0
3258,Data Analyst,19.7,574,994,42.2,0
3671,Data Analyst,19.7,574,994,42.2,1
2159,Data Analyst,19.6,578,994,42.0,0
2626,Data Analyst,19.5,579,994,41.9,0
1477,Data Analyst,19.4,580,994,41.8,0
1831,Data Analyst,19.3,581,994,41.5,0
2335,Data Analyst,19.3,581,994,41.5,1
3696,Data Analyst,19.3,581,994,41.5,0
2177,Data Analyst,19.1,584,994,41.3,0
1761,Data Analyst,18.9,585,994,41.2,0
